method,x_offset,invariant,initial_direction,real,imag
reference,-0.195,s2*s3,1,-2.7062822457457267,-2.7882195840867072
reference,-0.195,s3*s4,0,0.8977144105028558,-0.2994320017032541
reference,-0.195,s3*s4,1,-0.35127643933947883,0.14623201464873903
reference,-0.195,s1*s4,0,-8.76185711932452,-14.629431082418584
reference,-0.195,s1*s4,1,5.246688239004331,6.683208337129496
reference,-0.18,s1*s2,0,-82.07669959559153,-27.29381680438571
reference,-0.18,s1*s2,1,37.6116635113735,2.4991222201071652
reference,-0.18,s2*s3,0,2.5998158824480013,8.346404758835865
reference,-0.18,s2*s3,1,-2.7062822457432096,-2.7882195840860975
reference,-0.18,s3*s4,0,0.8977144105017483,-0.2994320017015307
reference,-0.18,s3*s4,1,-0.3512764393392487,0.1462320146480242
reference,-0.18,s1*s4,0,-8.761857119340338,-14.629431082425894
reference,-0.18,s1*s4,1,5.246688239011044,6.683208337129789
reference,-0.16499999999999998,s1*s2,0,-82.07669959559968,-27.293816804400493
reference,-0.16499999999999998,s1*s2,1,37.61166351137815,2.4991222201114756
reference,-0.16499999999999998,s2*s3,0,2.59981588247088,8.346404758830305
reference,-0.16499999999999998,s2*s3,1,-2.7062822457508555,-2.7882195840819772
reference,-0.16499999999999998,s3*s4,0,0.8977144104993952,-0.29943200170600104
reference,-0.16499999999999998,s3*s4,1,-0.3512764393380487,0.14623201464937444
reference,-0.16499999999999998,s1*s4,0,-8.761857119292845,-14.62943108247107
reference,-0.16499999999999998,s1*s4,1,5.246688238998205,6.683208337150257
reference,-0.15,s1*s2,0,-82.07669959559583,-27.293816804408713
reference,-0.15,s1*s2,1,37.61166351137793,2.499122220114874
reference,-0.15,s2*s3,0,2.5998158824856694,8.346404758837739
reference,-0.15,s2*s3,1,-2.7062822457569213,-2.7882195840828334
reference,-0.15,s3*s4,0,0.8977144104999581,-0.2994320017095355
reference,-0.15,s3*s4,1,-0.35127643933784,0.14623201465065205
reference,-0.15,s1*s4,0,-8.761857119246272,-14.629431082471726
reference,-0.15,s1*s4,1,5.246688238981791,6.683208337155538
reference,-0.135,s1*s2,0,-82.0766995955946,-27.29381680441768
reference,-0.135,s1*s2,1,37.61166351137814,2.4991222201180316
reference,-0.135,s2*s3,0,2.5998158824736786,8.346404758847015
reference,-0.135,s2*s3,1,-2.706282245753531,-2.7882195840875474
reference,-0.135,s3*s4,0,0.8977144105026389,-0.29943200170681006
reference,-0.135,s3*s4,1,-0.3512764393391173,0.14623201464995808
reference,-0.135,s1*s4,0,-8.761857119264196,-14.629431082442274
reference,-0.135,s1*s4,1,5.246688238985203,6.683208337143008
reference,-0.12,s1*s2,0,-82.07669959560221,-27.293816804420125
reference,-0.12,s1*s2,1,37.61166351138136,2.4991222201180645
reference,-0.12,s2*s3,0,2.59981588245747,8.346404758838307
reference,-0.12,s2*s3,1,-2.7062822457466993,-2.788219584086126
reference,-0.12,s3*s4,0,0.8977144105021789,-0.2994320017020403
reference,-0.12,s3*s4,1,-0.3512764393394425,0.14623201464816546
reference,-0.12,s1*s4,0,-8.761857119317769,-14.629431082445192
reference,-0.12,s1*s4,1,5.246688239005194,6.683208337138589
reference,-0.10499999999999998,s1*s2,0,-82.07669959560809,-27.293816804417624
reference,-0.10499999999999998,s1*s2,1,37.611663511383014,2.4991222201163987
reference,-0.10499999999999998,s2*s3,0,2.599815882438386,8.346404758819745
reference,-0.10499999999999998,s2*s3,1,-2.7062822457378397,-2.788219584081924
reference,-0.10499999999999998,s3*s4,0,0.8977144104983195,-0.2994320016968247
reference,-0.10499999999999998,s3*s4,1,-0.3512764393387347,0.14623201464588872
reference,-0.10499999999999998,s1*s4,0,-8.761857119384644,-14.629431082471266
reference,-0.10499999999999998,s1*s4,1,5.246688239031675,6.68320833713975
reference,-0.09,s1*s2,0,-82.07669959560175,-27.29381680439558
reference,-0.09,s1*s2,1,37.611663511378005,2.4991222201091605
reference,-0.09,s2*s3,0,2.5998158824554434,8.346404758843722
reference,-0.09,s2*s3,1,-2.7062822457468854,-2.788219584088563
reference,-0.09,s3*s4,0,0.8977144105030151,-0.2994320017023243
reference,-0.09,s3*s4,1,-0.35127643933976477,0.14623201464841679
reference,-0.09,s1*s4,0,-8.761857119319131,-14.629431082422487
reference,-0.09,s1*s4,1,5.246688239002117,6.6832083371294315
reference,-0.07500000000000001,s1*s2,0,-82.07669959558778,-27.293816804359352
reference,-0.07500000000000001,s1*s2,1,37.61166351136908,2.4991222200979397
reference,-0.07500000000000001,s2*s3,0,2.599815882474672,8.346404758868324
reference,-0.07500000000000001,s2*s3,1,-2.7062822457564772,-2.788219584095284
reference,-0.07500000000000001,s3*s4,0,0.8977144105075574,-0.2994320017094126
reference,-0.07500000000000001,s3*s4,1,-0.35127643934060687,0.14623201465147428
reference,-0.07500000000000001,s1*s4,0,-8.761857119243334,-14.629431082369974
reference,-0.07500000000000001,s1*s4,1,5.246688238969083,6.683208337119267
reference,-0.06,s1*s2,0,-82.07669959556267,-27.29381680432178
reference,-0.06,s1*s2,1,37.611663511355665,2.49912222008766
reference,-0.06,s2*s3,0,2.5998158824743904,8.346404758887942
reference,-0.06,s2*s3,1,-2.706282245758653,-2.788219584101961
reference,-0.06,s3*s4,0,0.8977144105116734,-0.2994320017110067
reference,-0.06,s3*s4,1,-0.35127643934181707,0.14623201465251454
reference,-0.06,s1*s4,0,-8.761857119217026,-14.629431082305292
reference,-0.06,s1*s4,1,5.246688238951981,6.683208337099866
reference,-0.044999999999999984,s1*s2,0,-82.07669959557562,-27.293816804270037
reference,-0.044999999999999984,s1*s2,1,37.611663511353704,2.499122220067677
reference,-0.044999999999999984,s2*s3,0,2.5998158824337545,8.346404758886877
reference,-0.044999999999999984,s2*s3,1,-2.706282245743921,-2.7882195841067294
reference,-0.044999999999999984,s3*s4,0,0.8977144105139896,-0.2994320017032079
reference,-0.044999999999999984,s3*s4,1,-0.35127643934366315,0.14623201464998342
reference,-0.044999999999999984,s1*s4,0,-8.76185711932566,-14.629431082245782
reference,-0.044999999999999984,s1*s4,1,5.246688238984219,6.683208337065141
reference,-0.03,s1*s2,0,-82.07669959560386,-27.293816804231295
reference,-0.03,s1*s2,1,37.61166351135918,2.499122220050086
reference,-0.03,s2*s3,0,2.599815882401981,8.346404758869436
reference,-0.03,s2*s3,1,-2.7062822457303324,-2.7882195841048394
reference,-0.03,s3*s4,0,0.8977144105124764,-0.29943200169547735
reference,-0.03,s3*s4,1,-0.3512764393442017,0.14623201464702157
reference,-0.03,s1*s4,0,-8.761857119436778,-14.629431082240774
reference,-0.03,s1*s4,1,5.246688239023106,6.683208337048373
reference,-0.015000000000000013,s1*s2,0,-82.07669959564585,-27.293816804233426
reference,-0.015000000000000013,s1*s2,1,37.61166351137387,2.4991222200448577
reference,-0.015000000000000013,s2*s3,0,2.5998158823924125,8.346404758852849
reference,-0.015000000000000013,s2*s3,1,-2.70628224572461,-2.7882195840999455
reference,-0.015000000000000013,s3*s4,0,0.8977144105094368,-0.2994320016914236
